DATE,TERM,RATE,DAY
36552,7,0.047503419,4
36552,30,0.049995791,4
36552,90,0.051648188,4
36552,180,0.054305438,4
36552,365,0.058620999,4
36552,730,0.062187477,4
36552,1095,0.064514987,4
36552,1460,0.065782571,4
36552,1825,0.065361187,4
36552,2190,0.065484641,4
36552,2555,0.065943049,4
36552,2920,0.065955614,4
36552,3285,0.06568742,4
36552,3650,0.065540014,4
36552,4380,0.066082794,4
36552,5475,0.066326034,4
36552,7300,0.064868539,4
36552,9125,0.061052953,4
36552,10950,0.05906519,4
36553,1,0.045854544,5
36553,7,0.046856585,5
36553,30,0.049887823,5
36553,90,0.051729345,5
36553,180,0.054977761,5
36553,365,0.059091174,5
36553,730,0.06261215,5
36553,1095,0.064998013,5
36553,1460,0.065647079,5
36553,1825,0.065307817,5
36553,2190,0.065387005,5
36553,2555,0.065586793,5
36553,2920,0.06539731,5
36553,3285,0.065098246,5
36553,3650,0.065166681,5
36553,4380,0.06676249,5
36553,5475,0.066795446,5
36553,7300,0.064550017,5
36553,9125,0.060958602,5
36553,10950,0.058938107,5
36556,1,0.045978918,1
36556,7,0.04709489,1
36556,30,0.050462194,1
36556,90,0.052320271,1
36556,180,0.055591795,1
36556,365,0.059801501,1
36556,730,0.063356955,1
36556,1095,0.06577156,1
36556,1460,0.0664643,1
36556,1825,0.066188576,1
36556,2190,0.066086004,1
36556,2555,0.066100965,1
36556,2920,0.06601787,1
36556,3285,0.065902232,1
36556,3650,0.065889841,1
36556,4380,0.066227441,1
36556,5475,0.066158399,1
36556,7300,0.064984054,1
36556,9125,0.061481623,1
36556,10950,0.059538428,1
36557,1,0.045734587,2
36557,7,0.046964091,2
36557,30,0.050617859,2
36557,90,0.052144929,2
36557,180,0.055315323,2
36557,365,0.059675684,2
36557,730,0.063121835,2
36557,1095,0.064701016,2
36557,1460,0.065362207,2
36557,1825,0.065716935,2
36557,2190,0.065658101,2
36557,2555,0.065398445,2
36557,2920,0.065235493,2
36557,3285,0.065194504,2
36557,3650,0.065232667,2
36557,4380,0.065368499,2
36557,5475,0.065794159,2
36557,7300,0.064432384,2
36557,9125,0.060983597,2
36557,10950,0.059613775,2
36558,1,0.042949999,3
36558,7,0.044206204,3
36558,30,0.04793327,3
36558,90,0.049524216,3
36558,180,0.052850961,3
36558,365,0.057087889,3
36558,730,0.06012723,3
36558,1095,0.062897954,3
36558,1460,0.064165481,3
36558,1825,0.064449358,3
36558,2190,0.065072411,3
36558,2555,0.065628012,3
36558,2920,0.065625643,3
36558,3285,0.065290932,3
36558,3650,0.065028541,3
36558,4380,0.065226418,3
36558,5475,0.065272861,3
36558,7300,0.063858661,3
36558,9125,0.060322831,3
36558,10950,0.058920782,3
36559,1,0.046256657,4
36559,7,0.047358993,4
36559,30,0.050623331,4
36559,90,0.051888394,4
36559,180,0.054925389,4
36559,365,0.059721507,4
36559,730,0.062039231,4
36559,1095,0.063846019,4
36559,1460,0.064390629,4
36559,1825,0.064235401,4
36559,2190,0.064036919,4
36559,2555,0.063760726,4
36559,2920,0.0633568,4
36559,3285,0.063048911,4
36559,3650,0.063129273,4
36559,4380,0.064317134,4
36559,5475,0.063542547,4
36559,7300,0.062255741,4
36559,9125,0.059024003,4
36559,10950,0.057078797,4
36560,1,0.045928713,5
36560,7,0.047037944,5
36560,30,0.050361988,5
36560,90,0.051601246,5
36560,180,0.054304011,5
36560,365,0.059675929,5
36560,730,0.06314202,5
36560,1095,0.065468837,5
36560,1460,0.065932341,5
36560,1825,0.065308473,5
36560,2190,0.065070805,5
36560,2555,0.065033371,5
36560,2920,0.064803728,5
36560,3285,0.064498365,5
36560,3650,0.064361008,5
36560,4380,0.064671198,5
36560,5475,0.064393048,5
36560,7300,0.062978359,5
36560,9125,0.059732041,5
36560,10950,0.058888979,5
36563,1,0.045902841,1
36563,7,0.04698187,1
36563,30,0.050219517,1
36563,90,0.051717818,1
36563,180,0.05477861,1
36563,365,0.059773648,1
36563,730,0.063058296,1
36563,1095,0.065686424,1
36563,1460,0.066358071,1
36563,1825,0.065696259,1
36563,2190,0.065634298,1
36563,2555,0.065860658,1
36563,2920,0.065730443,1
36563,3285,0.065402182,1
36563,3650,0.065235257,1
36563,4380,0.065583561,1
36563,5475,0.065214668,1
36563,7300,0.063676995,1
36563,9125,0.0602322,1
36563,10950,0.0589962,1
36564,1,0.048984376,2
36564,7,0.049224966,2
36564,30,0.050067674,2
36564,90,0.051575398,2
36564,180,0.05417942,2
36564,365,0.059521842,2
36564,730,0.062732162,2
36564,1095,0.06522212,2
36564,1460,0.065704338,2
36564,1825,0.065152425,2
36564,2190,0.065154538,2
36564,2555,0.065332761,2
36564,2920,0.065080741,2
36564,3285,0.064618573,2
36564,3650,0.064372968,2
36564,4380,0.064726486,2
36564,5475,0.06407071,2
36564,7300,0.062691834,2
36564,9125,0.059382862,2
36564,10950,0.058240407,2
36565,1,0.048262883,3
36565,7,0.04847789,3
36565,30,0.049246182,3
36565,90,0.050770131,3
36565,180,0.053375797,3
36565,365,0.058741925,3
36565,730,0.062688619,3
36565,1095,0.065013228,3
36565,1460,0.065613317,3
36565,1825,0.065033157,3
36565,2190,0.065036568,3
36565,2555,0.065333309,3
36565,2920,0.065299486,3
36565,3285,0.065004662,3
36565,3650,0.064691766,3
36565,4380,0.064306406,3
36565,5475,0.063937607,3
36565,7300,0.062327683,3
36565,9125,0.058873948,3
36565,10950,0.057342619,3
36566,1,0.048371565,4
36566,7,0.048736514,4
36566,30,0.04993826,4
36566,90,0.05141288,4
36566,180,0.05398256,4
36566,365,0.059295808,4
36566,730,0.062755326,4
36566,1095,0.06517588,4
36566,1460,0.06628737,4
36566,1825,0.065818182,4
36566,2190,0.065870001,4
36566,2555,0.066257312,4
36566,2920,0.06629326,4
36566,3285,0.066029548,4
36566,3650,0.06570252,4
36566,4380,0.065116221,4
36566,5475,0.064656951,4
36566,7300,0.062900726,4
36566,9125,0.058672766,4
36566,10950,0.05692629,4
36567,1,0.047550425,5
36567,7,0.04805022,5
36567,30,0.049633716,5
36567,90,0.051122616,5
36567,180,0.053757178,5
36567,365,0.058783533,5
36567,730,0.062596809,5
36567,1095,0.065065878,5
36567,1460,0.065784404,5
36567,1825,0.065250072,5
36567,2190,0.065305198,5
36567,2555,0.065688926,5
36567,2920,0.065757616,5
36567,3285,0.065543318,5
36567,3650,0.065247,5
36567,4380,0.064676181,5
36567,5475,0.064585025,5
36567,7300,0.062837109,5
36567,9125,0.059013365,5
36567,10950,0.057270557,5
36570,1,0.048234604,1
36570,7,0.048591992,1
36570,30,0.049767899,1
36570,90,0.051403926,1
36570,180,0.054128233,1
36570,365,0.058738364,1
36570,730,0.06197876,1
36570,1095,0.064464479,1
36570,1460,0.06541533,1
36570,1825,0.064787588,1
36570,2190,0.064736648,1
36570,2555,0.065068046,1
36570,2920,0.065101683,1
36570,3285,0.06488175,1
36570,3650,0.064633514,1
36570,4380,0.064272716,1
36570,5475,0.063785039,1
36570,7300,0.061992278,1
36570,9125,0.058329926,1
36570,10950,0.056551035,1
36571,1,0.048721937,2
36571,7,0.048957631,2
36571,30,0.049805236,2
36571,90,0.051316267,2
36571,180,0.05371505,2
36571,365,0.059014821,2
36571,730,0.062313547,2
36571,1095,0.064763282,2
36571,1460,0.065673032,2
36571,1825,0.065091857,2
36571,2190,0.065124977,2
36571,2555,0.065521797,2
36571,2920,0.065562356,2
36571,3285,0.065288912,2
36571,3650,0.064934275,2
36571,4380,0.06426495,2
36571,5475,0.063770686,2
36571,7300,0.06184986,2
36571,9125,0.057890317,2
36571,10950,0.056227427,2
36572,1,0.048543154,3
36572,7,0.048761095,3
36572,30,0.049559853,3
36572,90,0.051119787,3
36572,180,0.053579251,3
36572,365,0.05891039,3
36572,730,0.062376874,3
36572,1095,0.064830756,3
36572,1460,0.065508738,3
36572,1825,0.065176198,3
36572,2190,0.06527779,3
36572,2555,0.065546482,3
36572,2920,0.06548073,3
36572,3285,0.065170428,3
36572,3650,0.064853331,3
36572,4380,0.064460436,3
36572,5475,0.063990902,3
36572,7300,0.06196118,3
36572,9125,0.058027828,3
36572,10950,0.056046516,3
36573,1,0.048982692,4
36573,7,0.049204259,4
36573,30,0.050015992,4
36573,90,0.051527986,4
36573,180,0.053859023,4
36573,365,0.059164021,4
36573,730,0.06290992,4
36573,1095,0.065346362,4
36573,1460,0.066020679,4
36573,1825,0.065451317,4
36573,2190,0.065412605,4
36573,2555,0.065634534,4
36573,2920,0.065503812,4
36573,3285,0.065115803,4
36573,3650,0.064743029,4
36573,4380,0.064310337,4
36573,5475,0.063511832,4
36573,7300,0.061315522,4
36573,9125,0.057382935,4
36573,10950,0.056403488,4
36574,1,0.048375656,5
36574,7,0.048602916,5
36574,30,0.049425656,5
36574,90,0.050968758,5
36574,180,0.053508338,5
36574,365,0.059108695,5
36574,730,0.062295511,5
36574,1095,0.064425311,5
36574,1460,0.065219963,5
36574,1825,0.064420844,5
36574,2190,0.064396009,5
36574,2555,0.064740009,5
36574,2920,0.064520161,5
36574,3285,0.063957195,5
36574,3650,0.063560192,5
36574,4380,0.063694872,5
36574,5475,0.062764244,5
36574,7300,0.06036281,5
36574,9125,0.05632903,5
36574,10950,0.054747233,5
36577,1,0.048259726,1
36577,7,0.048527877,1
36577,30,0.049476424,1
36577,90,0.051198742,1
36577,180,0.053821481,1
36577,365,0.058772936,1
36577,730,0.062076907,1
36577,1095,0.064022612,1
36577,1460,0.064427087,1
36577,1825,0.064012972,1
36577,2190,0.064047533,1
36577,2555,0.064136967,1
36577,2920,0.063708011,1
36577,3285,0.063084831,1
36577,3650,0.062815954,1
36577,4380,0.063604666,1
36577,5475,0.062205383,1
36577,7300,0.059753013,1
36577,9125,0.055785699,1
36577,10950,0.054470558,1
36578,1,0.047889941,2
36578,7,0.048255956,2
36578,30,0.049473236,2
36578,90,0.050982421,2
36578,180,0.053457431,2
36578,365,0.058572033,2
36578,730,0.061246459,2
36578,1095,0.062550521,2
36578,1460,0.06306726,2
36578,1825,0.06309113,2
36578,2190,0.06281486,2
36578,2555,0.062382721,2
36578,2920,0.061966217,2
36578,3285,0.061638662,2
36578,3650,0.061448818,2
36578,4380,0.061318704,2
36578,5475,0.060993212,2
36578,7300,0.05902324,2
36578,9125,0.054763838,2
36578,10950,0.053493008,2
36579,1,0.047986444,3
36579,7,0.048341541,3
36579,30,0.04953644,3
36579,90,0.051144273,3
36579,180,0.053633189,3
36579,365,0.058497737,3
36579,730,0.061367403,3
36579,1095,0.063280845,3
36579,1460,0.06385271,3
36579,1825,0.063136718,3
36579,2190,0.063033739,3
36579,2555,0.063252701,3
36579,2920,0.06307978,3
36579,3285,0.0626169,3
36579,3650,0.062169919,3
36579,4380,0.061669139,3
36579,5475,0.061587543,3
36579,7300,0.059443384,3
36579,9125,0.054940091,3
36579,10950,0.053718012,3
36580,1,0.047544934,4
36580,7,0.048010168,4
36580,30,0.049528227,4
36580,90,0.051185192,4
36580,180,0.053589781,4
36580,365,0.057633017,4
36580,730,0.059135423,4
36580,1095,0.061243375,4
36580,1460,0.061983482,4
36580,1825,0.061421435,4
36580,2190,0.061465291,4
36580,2555,0.061830042,4
36580,2920,0.06185095,4
36580,3285,0.061609783,4
36580,3650,0.061374938,4
36580,4380,0.061223174,4
36580,5475,0.06124239,4
36580,7300,0.059532079,4
36580,9125,0.05521459,4
36580,10950,0.054429728,4
36581,1,0.047252564,5
36581,7,0.047726968,5
36581,30,0.049285857,5
36581,90,0.051026258,5
36581,180,0.05332081,5
36581,365,0.056951498,5
36581,730,0.058717631,5
36581,1095,0.060787412,5
36581,1460,0.061715705,5
36581,1825,0.061220498,5
36581,2190,0.061374927,5
36581,2555,0.061884957,5
36581,2920,0.061959767,5
36581,3285,0.061677878,5
36581,3650,0.061335144,5
36581,4380,0.060923827,5
36581,5475,0.061437976,5
36581,7300,0.060117975,5
36581,9125,0.055828847,5
36581,10950,0.054852632,5
36584,1,0.048745985,1
36584,7,0.049242069,1
36584,30,0.050795976,1
36584,90,0.052266508,1
36584,180,0.054602566,1
36584,365,0.057651438,1
36584,730,0.059747427,1
36584,1095,0.061820762,1
36584,1460,0.062544284,1
36584,1825,0.061859676,1
36584,2190,0.061920303,1
36584,2555,0.062382988,1
36584,2920,0.062395821,1
36584,3285,0.062060543,1
36584,3650,0.061717311,1
36584,4380,0.061440808,1
36584,5475,0.061638441,1
36584,7300,0.059787394,1
36584,9125,0.055810871,1
36584,10950,0.055420229,1
36585,1,0.048687326,2
36585,7,0.049261502,2
36585,30,0.050987313,2
36585,90,0.052189282,2
36585,180,0.054767062,2
36585,365,0.05840266,2
36585,730,0.0604434,2
36585,1095,0.062354282,2
36585,1460,0.062936633,2
36585,1825,0.062297205,2
36585,2190,0.062173025,2
36585,2555,0.062327406,2
36585,2920,0.062169887,2
36585,3285,0.061821973,2
36585,3650,0.061583158,2
36585,4380,0.061691095,2
